page,fold,sheet,chapter,section,module,content_type,cs_code,title,ocr_path,publish_source
175,A4,175,8,modification-levels,I,table,CS 8 272,Mod levels - ETBC-C module I,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150802Z/Philips-VP415-Service-Manual-hires-300-part5of5-pages140-197.pdf/pages/page-36/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_175.webp
176,A4,176,8,modification-levels,J,table,CS 8 273,Mod levels - focus module J,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150802Z/Philips-VP415-Service-Manual-hires-300-part5of5-pages140-197.pdf/pages/page-37/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_176.webp
177,A4,177,8,modification-levels,K,table,CS 8 274,Mod levels - HF processor module K,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150802Z/Philips-VP415-Service-Manual-hires-300-part5of5-pages140-197.pdf/pages/page-38/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_177.webp
178,A4,178,8,modification-levels,L,table,CS 8 275,Mod levels - video correction module L,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150802Z/Philips-VP415-Service-Manual-hires-300-part5of5-pages140-197.pdf/pages/page-39/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_178.webp
179,A4,179,8,modification-levels,M,table,CS 8 276,Mod levels - radial module M,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150802Z/Philips-VP415-Service-Manual-hires-300-part5of5-pages140-197.pdf/pages/page-40/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_179.webp
180,A4,180,8,modification-levels,R,table,CS 8 277,Mod levels - drive processor module R,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150802Z/Philips-VP415-Service-Manual-hires-300-part5of5-pages140-197.pdf/pages/page-41/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_180.webp
181,A4,181,8,modification-levels,R,table,CS 8 278,Mod levels - drive processor module R (continued),unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150802Z/Philips-VP415-Service-Manual-hires-300-part5of5-pages140-197.pdf/pages/page-42/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_181.webp
182,A4,182,8,modification-levels,S,table,CS 8 279,Mod levels - control module S,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150802Z/Philips-VP415-Service-Manual-hires-300-part5of5-pages140-197.pdf/pages/page-43/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_182.webp
183,A4,183,8,modification-levels,T,table,CS 8 280,Mod levels - supply module T,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150802Z/Philips-VP415-Service-Manual-hires-300-part5of5-pages140-197.pdf/pages/page-44/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_183.webp
184,A4,184,8,modification-levels,U,table,CS 8 281,Mod levels - analog I/O module U,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150802Z/Philips-VP415-Service-Manual-hires-300-part5of5-pages140-197.pdf/pages/page-45/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_184.webp
185,A4,185,8,modification-levels,Y,table,CS 8 282,Mod levels - video mix module Y,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150802Z/Philips-VP415-Service-Manual-hires-300-part5of5-pages140-197.pdf/pages/page-46/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_185.webp
186,A4,186,8,modification-levels,Z,table,CS 8 283,Mod levels - deck electronics module Z,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150802Z/Philips-VP415-Service-Manual-hires-300-part5of5-pages140-197.pdf/pages/page-47/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_186.webp
187,A4,187,8,software-releases,,table,CS 8 284,Survey of software releases VP410/415,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150802Z/Philips-VP415-Service-Manual-hires-300-part5of5-pages140-197.pdf/pages/page-48/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_187.webp
188,A4,188,8,software-releases,,text,CS 8 285,Description of software modifications,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150802Z/Philips-VP415-Service-Manual-hires-300-part5of5-pages140-197.pdf/pages/page-49/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_188.webp
189,A4,189,8,software-releases,S,table,CS 8 286,Software - CONTROL (on module S),unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150802Z/Philips-VP415-Service-Manual-hires-300-part5of5-pages140-197.pdf/pages/page-50/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_189.webp
190,A4,190,8,software-releases,W,table,CS 8 287,Software - SYNC (on module W),unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150802Z/Philips-VP415-Service-Manual-hires-300-part5of5-pages140-197.pdf/pages/page-51/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_190.webp
191,A4,191,8,software-releases,W,table,CS 8 288,Software - DESCRAMBLER (on module W),unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150802Z/Philips-VP415-Service-Manual-hires-300-part5of5-pages140-197.pdf/pages/page-52/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_191.webp
192,A4,192,8,software-releases,W,table,CS 8 289,Software - LV-DOS#1 + LV-DOS#2 (on module W),unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150802Z/Philips-VP415-Service-Manual-hires-300-part5of5-pages140-197.pdf/pages/page-53/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_192.webp
193,A4,193,8,fault-symptoms,,table,CS 8 290,Fault symptoms and solutions,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150802Z/Philips-VP415-Service-Manual-hires-300-part5of5-pages140-197.pdf/pages/page-54/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_193.webp
194,A4,194,8,fault-symptoms,,table,CS 8 291,Start-up problems,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150802Z/Philips-VP415-Service-Manual-hires-300-part5of5-pages140-197.pdf/pages/page-55/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_194.webp
195,A4,195,8,fault-symptoms,,table,CS 8 292,Playability problems,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150802Z/Philips-VP415-Service-Manual-hires-300-part5of5-pages140-197.pdf/pages/page-56/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_195.webp
196,A4,196,8,fault-symptoms,,table,CS 8 293,Video problems,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150802Z/Philips-VP415-Service-Manual-hires-300-part5of5-pages140-197.pdf/pages/page-57/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_196.webp
197,A4,197,8,fault-symptoms,,table,CS 8 294,Communication problems,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150802Z/Philips-VP415-Service-Manual-hires-300-part5of5-pages140-197.pdf/pages/page-58/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_197.webp
