source_path,dest_path,origin,disposition,profile,sheet,cs_code,notes
unsorted-source-material/Module photos/Plug in modules/Module Y - VidMix bottom.jpg,docs/modules/y-video-mixer/assets/originals/y-video-mixer-bottom.jpg,asset-map,publish,module-photo,,,
unsorted-source-material/Module photos/Plug in modules/Module Y - VidMix top.jpg,docs/modules/y-video-mixer/assets/originals/y-video-mixer-top.jpg,asset-map,publish,module-photo,,,
unsorted-source-material/Module photos/Plug in modules/Remote control top.jpg,docs/modules/remote-control/assets/originals/remote-control-top.jpg,asset-map,publish,module-photo,,,
unsorted-source-material/Module photos/Plug in modules/Rermote control bottom.jpg,docs/modules/remote-control/assets/originals/remote-control-bottom.jpg,asset-map,publish,module-photo,,,
unsorted-source-material/Pictures/415Photos/415Photos/IMG_5845.JPG,docs/overview/assets/originals/img-5845.jpg,asset-map,publish,photo,,,exterior photograph - chapter 1 controls and connections
unsorted-source-material/Pictures/415Photos/415Photos/IMG_5846.JPG,docs/overview/assets/originals/img-5846.jpg,asset-map,publish,photo,,,exterior photograph - chapter 1 controls and connections
unsorted-source-material/Pictures/415Photos/415Photos/IMG_5847.JPG,docs/overview/assets/originals/img-5847.jpg,asset-map,publish,photo,,,exterior photograph - chapter 1 controls and connections
unsorted-source-material/Pictures/415Photos/415Photos/IMG_5848.JPG,docs/overview/assets/originals/img-5848.jpg,asset-map,publish,photo,,,exterior photograph - chapter 1 controls and connections
unsorted-source-material/Pictures/415Photos/415Photos/IMG_5849.JPG,docs/overview/assets/originals/img-5849.jpg,asset-map,publish,photo,,,exterior photograph - chapter 1 controls and connections
unsorted-source-material/Pictures/415Photos/415Photos/IMG_5850.JPG,docs/overview/assets/originals/img-5850.jpg,asset-map,publish,photo,,,exterior photograph - chapter 1 controls and connections
unsorted-source-material/Pictures/415Photos/415Photos/IMG_5851.JPG,docs/overview/assets/originals/img-5851.jpg,asset-map,publish,photo,,,exterior photograph - chapter 1 controls and connections
unsorted-source-material/Pictures/415Photos/415Photos/IMG_5852.JPG,docs/overview/assets/originals/img-5852.jpg,asset-map,publish,photo,,,exterior photograph - chapter 1 controls and connections
unsorted-source-material/Pictures/415Photos/415Photos/IMG_5853.JPG,docs/overview/assets/originals/img-5853.jpg,asset-map,publish,photo,,,exterior photograph - chapter 1 controls and connections
unsorted-source-material/Pictures/415Photos/415Photos/IMG_5854.JPG,docs/overview/assets/originals/img-5854.jpg,asset-map,publish,photo,,,exterior photograph - chapter 1 controls and connections
unsorted-source-material/Pictures/415Photos/415Photos/IMG_5855.JPG,docs/overview/assets/originals/img-5855.jpg,asset-map,publish,photo,,,exterior photograph - chapter 1 controls and connections
unsorted-source-material/Pictures/415Photos/415Photos/IMG_5856.JPG,docs/overview/assets/originals/img-5856.jpg,asset-map,publish,photo,,,exterior photograph - chapter 1 controls and connections
unsorted-source-material/Pictures/415Photos/415Photos/IMG_5857.JPG,docs/overview/assets/originals/img-5857.jpg,asset-map,publish,photo,,,exterior photograph - chapter 1 controls and connections
unsorted-source-material/Pictures/415Photos/415Photos/IMG_5858.JPG,docs/overview/assets/originals/img-5858.jpg,asset-map,publish,photo,,,exterior photograph - chapter 1 controls and connections
unsorted-source-material/Pictures/415Photos/415Photos/IMG_5859.JPG,docs/overview/assets/originals/img-5859.jpg,asset-map,publish,photo,,,exterior photograph - chapter 1 controls and connections
unsorted-source-material/Pictures/415Photos/415Photos/IMG_5863.JPG,docs/overview/assets/originals/img-5863.jpg,asset-map,publish,photo,,,exterior photograph - chapter 1 controls and connections
unsorted-source-material/Pictures/415Photos/415Photos/IMG_5864.JPG,docs/overview/assets/originals/img-5864.jpg,asset-map,publish,photo,,,exterior photograph - chapter 1 controls and connections
unsorted-source-material/Pictures/415Photos/415Photos/IMG_5865.JPG,docs/overview/assets/originals/img-5865.jpg,asset-map,publish,photo,,,exterior photograph - chapter 1 controls and connections
unsorted-source-material/Pictures/415Photos/415Photos/IMG_5866.JPG,docs/overview/assets/originals/img-5866.jpg,asset-map,publish,photo,,,exterior photograph - chapter 1 controls and connections
unsorted-source-material/Pictures/415Photos/415Photos/IMG_5867.JPG,docs/overview/assets/originals/img-5867.jpg,asset-map,publish,photo,,,exterior photograph - chapter 1 controls and connections
unsorted-source-material/Pictures/415Photos/415Photos/IMG_5868.JPG,docs/overview/assets/originals/img-5868.jpg,asset-map,publish,photo,,,exterior photograph - chapter 1 controls and connections
unsorted-source-material/Pictures/415Photos/415Photos/IMG_5869.JPG,docs/overview/assets/originals/img-5869.jpg,asset-map,publish,photo,,,exterior photograph - chapter 1 controls and connections
unsorted-source-material/Pictures/DSC00262.JPG,docs/overview/assets/originals/dsc00262.jpg,asset-map,publish,photo,,,exterior photograph - chapter 1 controls and connections
unsorted-source-material/Pictures/DSC00263.JPG,docs/overview/assets/originals/dsc00263.jpg,asset-map,publish,photo,,,exterior photograph - chapter 1 controls and connections
unsorted-source-material/Pictures/DSC00264.JPG,docs/overview/assets/originals/dsc00264.jpg,asset-map,publish,photo,,,exterior photograph - chapter 1 controls and connections
unsorted-source-material/Pictures/DSC00265.JPG,docs/overview/assets/originals/dsc00265.jpg,asset-map,publish,photo,,,exterior photograph - chapter 1 controls and connections
unsorted-source-material/Pictures/DSC00266.JPG,docs/overview/assets/originals/dsc00266.jpg,asset-map,publish,photo,,,exterior photograph - chapter 1 controls and connections
unsorted-source-material/Pictures/DSC00267.JPG,docs/overview/assets/originals/dsc00267.jpg,asset-map,publish,photo,,,exterior photograph - chapter 1 controls and connections
unsorted-source-material/Pictures/DSC00282.JPG,docs/overview/assets/originals/dsc00282.jpg,asset-map,publish,photo,,,exterior photograph - chapter 1 controls and connections
unsorted-source-material/Pictures/DSC00283.JPG,docs/overview/assets/originals/dsc00283.jpg,asset-map,publish,photo,,,exterior photograph - chapter 1 controls and connections
unsorted-source-material/Pictures/DSC00284.JPG,docs/overview/assets/originals/dsc00284.jpg,asset-map,publish,photo,,,exterior photograph - chapter 1 controls and connections
unsorted-source-material/Pictures/Philips VP415 LaserVision Player Rear.jpg,docs/overview/assets/originals/philips-vp415-laservision-player-rear.jpg,asset-map,publish,photo,,,exterior photograph - chapter 1 controls and connections
unsorted-source-material/Pictures/Philips VP415 LaserVision Player.jpg,docs/overview/assets/originals/philips-vp415-laservision-player.jpg,asset-map,publish,photo,,,exterior photograph - chapter 1 controls and connections
unsorted-source-material/VP415 ROM dumps/Rom descriptions.txt,docs/reference/assets/originals/rom-descriptions.txt,asset-map,convert,none,,,provenance note quoted on the firmware page
unsorted-source-material/VP415 ROM dumps/VP410 S Module - Control A 3104 103 68114.BIN,docs/reference/assets/originals/firmware/VP415 ROM dumps_VP410 S Module - Control A 3104 103 68114.BIN,asset-map,download,none,,,"checksums in planning/firmware-checksums.csv; 28 files, 11 distinct images"
unsorted-source-material/VP415 ROM dumps/VP415 ROM images/R 3104 103 6803 6 DRIVE V1_7 0x68FF.BIN,docs/reference/assets/originals/firmware/VP415 ROM dumps_VP415 ROM images_R 3104 103 6803 6 DRIVE V1_7 0x68FF.BIN,asset-map,download,none,,,"checksums in planning/firmware-checksums.csv; 28 files, 11 distinct images"
unsorted-source-material/VP415 ROM dumps/VP415 ROM images/S 3104 103 6804 9 CONTROL V1_8 0x6728.BIN,docs/reference/assets/originals/firmware/VP415 ROM dumps_VP415 ROM images_S 3104 103 6804 9 CONTROL V1_8 0x6728.BIN,asset-map,download,none,,,"checksums in planning/firmware-checksums.csv; 28 files, 11 distinct images"
unsorted-source-material/VP415 ROM dumps/VP415 ROM images/W 3104 103 6805 2 CPU V1_3 0xB42D.BIN,docs/reference/assets/originals/firmware/VP415 ROM dumps_VP415 ROM images_W 3104 103 6805 2 CPU V1_3 0xB42D.BIN,asset-map,download,none,,,"checksums in planning/firmware-checksums.csv; 28 files, 11 distinct images"
unsorted-source-material/VP415 ROM dumps/VP415 ROM images/W 3104 103 6805 3 CPU V1_4 0x8F90.BIN,docs/reference/assets/originals/firmware/VP415 ROM dumps_VP415 ROM images_W 3104 103 6805 3 CPU V1_4 0x8F90.BIN,asset-map,download,none,,,"checksums in planning/firmware-checksums.csv; 28 files, 11 distinct images"
unsorted-source-material/VP415 ROM dumps/VP415 ROM images/W 3104 103 6806 2 CPU V1_3 0x1A1C.BIN,docs/reference/assets/originals/firmware/VP415 ROM dumps_VP415 ROM images_W 3104 103 6806 2 CPU V1_3 0x1A1C.BIN,asset-map,download,none,,,"checksums in planning/firmware-checksums.csv; 28 files, 11 distinct images"
unsorted-source-material/VP415 ROM dumps/VP415 ROM images/W 3104 103 6806 3 CPU V1_4 0x56D7.BIN,docs/reference/assets/originals/firmware/VP415 ROM dumps_VP415 ROM images_W 3104 103 6806 3 CPU V1_4 0x56D7.BIN,asset-map,download,none,,,"checksums in planning/firmware-checksums.csv; 28 files, 11 distinct images"
unsorted-source-material/VP415 ROM dumps/VP415 ROM images/W 3104 103 6807 0 CPU V1_0 0x1FBE.BIN,docs/reference/assets/originals/firmware/VP415 ROM dumps_VP415 ROM images_W 3104 103 6807 0 CPU V1_0 0x1FBE.BIN,asset-map,download,none,,,"checksums in planning/firmware-checksums.csv; 28 files, 11 distinct images"
unsorted-source-material/VP415 ROM dumps/VP415 ROM images/W 3104 103 6808 0 CPU V1_0 0xD120.BIN,docs/reference/assets/originals/firmware/VP415 ROM dumps_VP415 ROM images_W 3104 103 6808 0 CPU V1_0 0xD120.BIN,asset-map,download,none,,,"checksums in planning/firmware-checksums.csv; 28 files, 11 distinct images"
unsorted-source-material/VP415 ROM dumps/VP415 ROM version survey.jpg,docs/reference/assets/originals/cs-8-284-software-release-survey-cropped.jpg,asset-map,publish,photo,,,CS 8 284 rotated upright; duplicates manual sheet 187
unsorted-source-material/VP415 ROM dumps/VP415 ROM version survey.png,docs/reference/assets/originals/cs-8-284-software-release-survey-upright.png,asset-map,publish,photo,,,CS 8 284 rotated upright; duplicates manual sheet 187
unsorted-source-material/VP415 ROM dumps/domesday_6803_drive.bin,docs/reference/assets/originals/firmware/VP415 ROM dumps_domesday_6803_drive.bin,asset-map,download,none,,,"checksums in planning/firmware-checksums.csv; 28 files, 11 distinct images"
unsorted-source-material/VP415 ROM dumps/domesday_scsi_6807.rom,docs/reference/assets/originals/firmware/VP415 ROM dumps_domesday_scsi_6807.rom,asset-map,download,none,,,"checksums in planning/firmware-checksums.csv; 28 files, 11 distinct images"
unsorted-source-material/VP415 ROM dumps/domesday_scsi_6808.rom,docs/reference/assets/originals/firmware/VP415 ROM dumps_domesday_scsi_6808.rom,asset-map,download,none,,,"checksums in planning/firmware-checksums.csv; 28 files, 11 distinct images"
unsorted-source-material/VP415 ROM dumps/drive_rom_sdi.BIN,docs/reference/assets/originals/firmware/VP415 ROM dumps_drive_rom_sdi.BIN,asset-map,download,none,,,"checksums in planning/firmware-checksums.csv; 28 files, 11 distinct images"
unsorted-source-material/VP415 ROM dumps/old VP415 ROMs/W 3104 103 6805 2 CPU V1_3 0xB42D.bin,docs/reference/assets/originals/firmware/VP415 ROM dumps_old VP415 ROMs_W 3104 103 6805 2 CPU V1_3 0xB42D.bin,asset-map,download,none,,,"checksums in planning/firmware-checksums.csv; 28 files, 11 distinct images"
unsorted-source-material/VP415 ROM dumps/old VP415 ROMs/W 3104 103 6806 2 CPU V1_3 0x1A1C.bin,docs/reference/assets/originals/firmware/VP415 ROM dumps_old VP415 ROMs_W 3104 103 6806 2 CPU V1_3 0x1A1C.bin,asset-map,download,none,,,"checksums in planning/firmware-checksums.csv; 28 files, 11 distinct images"
unsorted-source-material/VP415 ROM dumps/old VP415 ROMs/same/domesday_6803_drive 0x68FF.rom,docs/reference/assets/originals/firmware/VP415 ROM dumps_old VP415 ROMs_same_domesday_6803_drive 0x68FF.rom,asset-map,download,none,,,"checksums in planning/firmware-checksums.csv; 28 files, 11 distinct images"
unsorted-source-material/VP415 ROM dumps/old VP415 ROMs/same/domesday_6804_control 0x6728.rom,docs/reference/assets/originals/firmware/VP415 ROM dumps_old VP415 ROMs_same_domesday_6804_control 0x6728.rom,asset-map,download,none,,,"checksums in planning/firmware-checksums.csv; 28 files, 11 distinct images"
unsorted-source-material/VP415 ROM dumps/old VP415 ROMs/same/domesday_6807_descrambler 0x1FBE.rom,docs/reference/assets/originals/firmware/VP415 ROM dumps_old VP415 ROMs_same_domesday_6807_descrambler 0x1FBE.rom,asset-map,download,none,,,"checksums in planning/firmware-checksums.csv; 28 files, 11 distinct images"
unsorted-source-material/VP415 ROM dumps/old VP415 ROMs/same/domesday_6808_sync 0xD120.rom,docs/reference/assets/originals/firmware/VP415 ROM dumps_old VP415 ROMs_same_domesday_6808_sync 0xD120.rom,asset-map,download,none,,,"checksums in planning/firmware-checksums.csv; 28 files, 11 distinct images"
unsorted-source-material/VP415 repair/7/Diagnostic mode reports error 7.docx,docs/repair/case-studies/assets/originals/diagnostic-mode-reports-error-7.docx,asset-map,convert,none,,,converted to docs/repair/case-studies/error-7-focus.md in phase 6
unsorted-source-material/VP415 repair/7/FOC-ER input to Module J.png,docs/repair/case-studies/assets/originals/error-7-focus-foc-er-input-to-module-j.png,asset-map,publish,scope-trace,,,scope trace for the error-7-focus investigation
unsorted-source-material/VP415 repair/7/Module J DSG of 6206.png,docs/repair/case-studies/assets/originals/error-7-focus-module-j-dsg-of-6206.png,asset-map,publish,scope-trace,,,scope trace for the error-7-focus investigation
unsorted-source-material/VP415 repair/7/Module J test FOC-ER and pins5-6 7001.png,docs/repair/case-studies/assets/originals/error-7-focus-module-j-test-foc-er-and-pins5-6-7001.png,asset-map,publish,scope-trace,,,scope trace for the error-7-focus investigation
unsorted-source-material/VP415 repair/7/Module J test from startup to fail in diagnostic mode.png,docs/repair/case-studies/assets/originals/error-7-focus-module-j-test-from-startup-to-fail-in-diagnostic-mode.png,asset-map,publish,scope-trace,,,scope trace for the error-7-focus investigation
unsorted-source-material/VP415 repair/Diagnostic mode reports error 9.docx,docs/repair/case-studies/assets/originals/diagnostic-mode-reports-error-9.docx,asset-map,convert,none,,,converted to docs/repair/case-studies/error-9-frame-lock.md in phase 6
unsorted-source-material/VP415 repair/Module G 1G1.png,docs/repair/case-studies/assets/originals/error-9-frame-lock-module-g-1g1.png,asset-map,publish,scope-trace,,,scope trace for the error-9-frame-lock investigation
unsorted-source-material/VP415 repair/Module G 2G1.png,docs/repair/case-studies/assets/originals/error-9-frame-lock-module-g-2g1.png,asset-map,publish,scope-trace,,,scope trace for the error-9-frame-lock investigation
unsorted-source-material/VP415 repair/Module G 3G2.png,docs/repair/case-studies/assets/originals/error-9-frame-lock-module-g-3g2.png,asset-map,publish,scope-trace,,,scope trace for the error-9-frame-lock investigation
unsorted-source-material/VP415 repair/Module G 6G1.png,docs/repair/case-studies/assets/originals/error-9-frame-lock-module-g-6g1.png,asset-map,publish,scope-trace,,,scope trace for the error-9-frame-lock investigation
unsorted-source-material/VP415 repair/Module G 6G2.png,docs/repair/case-studies/assets/originals/error-9-frame-lock-module-g-6g2.png,asset-map,publish,scope-trace,,,scope trace for the error-9-frame-lock investigation
unsorted-source-material/VP415 repair/Module G 8G1.png,docs/repair/case-studies/assets/originals/error-9-frame-lock-module-g-8g1.png,asset-map,publish,scope-trace,,,scope trace for the error-9-frame-lock investigation
unsorted-source-material/VP415 repair/Module G E 7014.png,docs/repair/case-studies/assets/originals/error-9-frame-lock-module-g-e-7014.png,asset-map,publish,scope-trace,,,scope trace for the error-9-frame-lock investigation
unsorted-source-material/VP415 repair/RGB Module calibration/Adjustment L5002 post.png,docs/reference/calibration/assets/originals/adjustment-l5002-post.png,asset-map,publish,scope-trace,,,RGB calibration capture
unsorted-source-material/VP415 repair/RGB Module calibration/Adjustment L5002 pre.png,docs/reference/calibration/assets/originals/adjustment-l5002-pre.png,asset-map,publish,scope-trace,,,RGB calibration capture
unsorted-source-material/VP415 repair/RGB Module calibration/Adjustment L5003 post.png,docs/reference/calibration/assets/originals/adjustment-l5003-post.png,asset-map,publish,scope-trace,,,RGB calibration capture
unsorted-source-material/VP415 repair/RGB Module calibration/Adjustment L5004 post.png,docs/reference/calibration/assets/originals/adjustment-l5004-post.png,asset-map,publish,scope-trace,,,RGB calibration capture
unsorted-source-material/VP415 repair/RGB Module calibration/Adjustment L5004 pre.png,docs/reference/calibration/assets/originals/adjustment-l5004-pre.png,asset-map,publish,scope-trace,,,RGB calibration capture
unsorted-source-material/VP415 repair/RGB Module calibration/Adjustment R3045 post.png,docs/reference/calibration/assets/originals/adjustment-r3045-post.png,asset-map,publish,scope-trace,,,RGB calibration capture
unsorted-source-material/VP415 repair/RGB Module calibration/Adjustment R3045 pre.png,docs/reference/calibration/assets/originals/adjustment-r3045-pre.png,asset-map,publish,scope-trace,,,RGB calibration capture
unsorted-source-material/VP415 repair/RGB Module calibration/Adjustment R308 pre.png,docs/reference/calibration/assets/originals/adjustment-r308-pre.png,asset-map,publish,scope-trace,,,RGB calibration capture
unsorted-source-material/VP415 repair/RGB Module calibration/Adjustment R3080 post.png,docs/reference/calibration/assets/originals/adjustment-r3080-post.png,asset-map,publish,scope-trace,,,RGB calibration capture
unsorted-source-material/VP415 repair/RGB Module calibration/Adjustment R3080 pre 2.png,docs/reference/calibration/assets/originals/adjustment-r3080-pre-2.png,asset-map,publish,scope-trace,,,RGB calibration capture
unsorted-source-material/VP415 repair/RGB Module calibration/Adjustment R3080 pre.png,docs/reference/calibration/assets/originals/adjustment-r3080-pre.png,asset-map,publish,scope-trace,,,RGB calibration capture
unsorted-source-material/VP415 repair/RGB Module calibration/Adjustment R3082 post.png,docs/reference/calibration/assets/originals/adjustment-r3082-post.png,asset-map,publish,scope-trace,,,RGB calibration capture
unsorted-source-material/VP415 repair/RGB Module calibration/Adjustment R3082 pre.png,docs/reference/calibration/assets/originals/adjustment-r3082-pre.png,asset-map,publish,scope-trace,,,RGB calibration capture
unsorted-source-material/VP415 repair/RGB Module calibration/Adjustment R3084 post.png,docs/reference/calibration/assets/originals/adjustment-r3084-post.png,asset-map,publish,scope-trace,,,RGB calibration capture
unsorted-source-material/VP415 repair/RGB Module calibration/Adjustment R3084 pre.png,docs/reference/calibration/assets/originals/adjustment-r3084-pre.png,asset-map,publish,scope-trace,,,RGB calibration capture
unsorted-source-material/VP415 repair/RGB Module calibration/Calibration and adjustment of RGB Module.docx,docs/reference/calibration/assets/originals/calibration-and-adjustment-of-rgb-module.docx,asset-map,convert,none,,,converted to docs/reference/calibration/rgb-module.md in phase 6
unsorted-source-material/VP415 repair/RGB Module calibration/RGB Module diagram.pptx,docs/reference/calibration/assets/originals/rgb-module-diagram.pptx,asset-map,publish,none,,,editable source (manifest §11.2)
unsorted-source-material/VP415 repair/RGB Module calibration/documentation images/B-Signal after black-level adjustment 4B3.png,docs/reference/calibration/assets/originals/b-signal-after-black-level-adjustment-4b3.png,asset-map,publish,scope-trace,,,RGB calibration capture
unsorted-source-material/VP415 repair/RGB Module calibration/documentation images/B-signal adjustment of 3084.png,docs/reference/calibration/assets/originals/b-signal-adjustment-of-3084.png,asset-map,publish,scope-trace,,,RGB calibration capture
unsorted-source-material/VP415 repair/RGB Module calibration/documentation images/Bandpass adjustment on IC 7201 pin 15.png,docs/reference/calibration/assets/originals/bandpass-adjustment-on-ic-7201-pin-15.png,asset-map,publish,scope-trace,,,RGB calibration capture
unsorted-source-material/VP415 repair/RGB Module calibration/documentation images/CVBS input signal on 1B1.png,docs/reference/calibration/assets/originals/cvbs-input-signal-on-1b1.png,asset-map,publish,scope-trace,,,RGB calibration capture
unsorted-source-material/VP415 repair/RGB Module calibration/documentation images/Chroma over and under shoot adjustment on 10B3.png,docs/reference/calibration/assets/originals/chroma-over-and-under-shoot-adjustment-on-10b3.png,asset-map,publish,scope-trace,,,RGB calibration capture
unsorted-source-material/VP415 repair/RGB Module calibration/documentation images/Chroma rest adjustment 10B3 of L5002.png,docs/reference/calibration/assets/originals/chroma-rest-adjustment-10b3-of-l5002.png,asset-map,publish,scope-trace,,,RGB calibration capture
unsorted-source-material/VP415 repair/RGB Module calibration/documentation images/G-signal after luminance adjustment 3B3.png,docs/reference/calibration/assets/originals/g-signal-after-luminance-adjustment-3b3.png,asset-map,publish,scope-trace,,,RGB calibration capture
unsorted-source-material/VP415 repair/RGB Module calibration/documentation images/R-signal after adjustment 2B3.png,docs/reference/calibration/assets/originals/r-signal-after-adjustment-2b3.png,asset-map,publish,scope-trace,,,RGB calibration capture
unsorted-source-material/VP415 repair/RGB Module calibration/documentation images/RGB Module diagram.png,docs/reference/calibration/assets/originals/rgb-module-diagram.png,asset-map,publish,scope-trace,,,RGB calibration capture
unsorted-source-material/VP415 repair/RGB Module calibration/documentation images/Vector Diagram Colour Bar.png,docs/reference/calibration/assets/originals/vector-diagram-colour-bar.png,asset-map,publish,scope-trace,,,RGB calibration capture
unsorted-source-material/VP415 repair/RGB Module calibration/documentation images/Vector diagram after adjustment of 2015.png,docs/reference/calibration/assets/originals/vector-diagram-after-adjustment-of-2015.png,asset-map,publish,scope-trace,,,RGB calibration capture
unsorted-source-material/VP415 repair/RGB Module calibration/documentation images/Vector diagram after adjustment of L5007.png,docs/reference/calibration/assets/originals/vector-diagram-after-adjustment-of-l5007.png,asset-map,publish,scope-trace,,,RGB calibration capture
unsorted-source-material/VP415 repair/RGB Module calibration/documentation images/Vector diagram before adjustment.png,docs/reference/calibration/assets/originals/vector-diagram-before-adjustment.png,asset-map,publish,scope-trace,,,RGB calibration capture
unsorted-source-material/VP415 repair/RGB Module calibration/documentation images/Vector diagram with delay line off.png,docs/reference/calibration/assets/originals/vector-diagram-with-delay-line-off.png,asset-map,publish,scope-trace,,,RGB calibration capture
unsorted-source-material/VP415 repair/RGB Module calibration/documentation images/Vector diagram with delay line on.png,docs/reference/calibration/assets/originals/vector-diagram-with-delay-line-on.png,asset-map,publish,scope-trace,,,RGB calibration capture
unsorted-source-material/misc/Disc information bytes from a real VP415.docx,docs/reference/assets/originals/disc-information-bytes-from-a-real-vp415.docx,asset-map,convert,none,,,real-player ?D/?P/?U/?= responses -> docs/reference/f-codes.md
unsorted-source-material/misc/Disc information bytes from a real VP415.pdf,docs/reference/assets/originals/disc-information-bytes-from-a-real-vp415.pdf,asset-map,download,none,,,duplicate of the docx in PDF form
unsorted-source-material/misc/MB88303-Fujitsu.pdf,docs/reference/assets/originals/datasheets/mb88303-fujitsu.pdf,asset-map,download,none,,,device datasheet
unsorted-source-material/misc/vp415Fcode.xlsx,docs/reference/assets/originals/vp415fcode.xlsx,asset-map,convert,none,,,becomes the searchable F-code table in docs/reference/f-codes.md
unsorted-source-material/pdfs/Philips VP415 Operating Instructions.pdf,docs/operating-instructions/assets/originals/philips-vp415-operating-instructions.pdf,asset-map,download,none,,,"user manual, 8 sections"
unsorted-source-material/title picture.jpg,docs/assets/originals/title-picture.jpg,asset-map,publish,photo,,,landing page hero image
unsorted-source-material/vp415 manual/image1 (2).jpg,docs/operating-instructions/assets/originals/operating-instructions-scan-01.jpg,asset-map,publish,text-page,,,3500x4956 page scan of the operating instructions
unsorted-source-material/vp415 manual/image10 (2).jpg,docs/operating-instructions/assets/originals/operating-instructions-scan-10.jpg,asset-map,publish,text-page,,,3500x4956 page scan of the operating instructions
unsorted-source-material/vp415 manual/image11 (2).jpg,docs/operating-instructions/assets/originals/operating-instructions-scan-11.jpg,asset-map,publish,text-page,,,3500x4956 page scan of the operating instructions
unsorted-source-material/vp415 manual/image12 (2).jpg,docs/operating-instructions/assets/originals/operating-instructions-scan-12.jpg,asset-map,publish,text-page,,,3500x4956 page scan of the operating instructions
unsorted-source-material/vp415 manual/image13 (2).jpg,docs/operating-instructions/assets/originals/operating-instructions-scan-13.jpg,asset-map,publish,text-page,,,3500x4956 page scan of the operating instructions
unsorted-source-material/vp415 manual/image14 (2).jpg,docs/operating-instructions/assets/originals/operating-instructions-scan-14.jpg,asset-map,publish,text-page,,,3500x4956 page scan of the operating instructions
unsorted-source-material/vp415 manual/image15 (2).jpg,docs/operating-instructions/assets/originals/operating-instructions-scan-15.jpg,asset-map,publish,text-page,,,3500x4956 page scan of the operating instructions
unsorted-source-material/vp415 manual/image16 (2).jpg,docs/operating-instructions/assets/originals/operating-instructions-scan-16.jpg,asset-map,publish,text-page,,,3500x4956 page scan of the operating instructions
unsorted-source-material/vp415 manual/image17 (2).jpg,docs/operating-instructions/assets/originals/operating-instructions-scan-17.jpg,asset-map,publish,text-page,,,3500x4956 page scan of the operating instructions
unsorted-source-material/vp415 manual/image18 (2).jpg,docs/operating-instructions/assets/originals/operating-instructions-scan-18.jpg,asset-map,publish,text-page,,,3500x4956 page scan of the operating instructions
unsorted-source-material/vp415 manual/image19 (2).jpg,docs/operating-instructions/assets/originals/operating-instructions-scan-19.jpg,asset-map,publish,text-page,,,3500x4956 page scan of the operating instructions
unsorted-source-material/vp415 manual/image2 (2).jpg,docs/operating-instructions/assets/originals/operating-instructions-scan-02.jpg,asset-map,publish,text-page,,,3500x4956 page scan of the operating instructions
unsorted-source-material/vp415 manual/image20 (2).jpg,docs/operating-instructions/assets/originals/operating-instructions-scan-20.jpg,asset-map,publish,text-page,,,3500x4956 page scan of the operating instructions
unsorted-source-material/vp415 manual/image21 (2).jpg,docs/operating-instructions/assets/originals/operating-instructions-scan-21.jpg,asset-map,publish,text-page,,,3500x4956 page scan of the operating instructions
unsorted-source-material/vp415 manual/image22 (2).jpg,docs/operating-instructions/assets/originals/operating-instructions-scan-22.jpg,asset-map,publish,text-page,,,3500x4956 page scan of the operating instructions
unsorted-source-material/vp415 manual/image23 (2).jpg,docs/operating-instructions/assets/originals/operating-instructions-scan-23.jpg,asset-map,publish,text-page,,,3500x4956 page scan of the operating instructions
unsorted-source-material/vp415 manual/image24 (2).jpg,docs/operating-instructions/assets/originals/operating-instructions-scan-24.jpg,asset-map,publish,text-page,,,3500x4956 page scan of the operating instructions
unsorted-source-material/vp415 manual/image25.jpg,docs/operating-instructions/assets/originals/operating-instructions-scan-25.jpg,asset-map,publish,text-page,,,3500x4956 page scan of the operating instructions
unsorted-source-material/vp415 manual/image26.jpg,docs/operating-instructions/assets/originals/operating-instructions-scan-26.jpg,asset-map,publish,text-page,,,3500x4956 page scan of the operating instructions
unsorted-source-material/vp415 manual/image27.jpg,docs/operating-instructions/assets/originals/operating-instructions-scan-27.jpg,asset-map,publish,text-page,,,3500x4956 page scan of the operating instructions
unsorted-source-material/vp415 manual/image3 (2).jpg,docs/operating-instructions/assets/originals/operating-instructions-scan-03.jpg,asset-map,publish,text-page,,,3500x4956 page scan of the operating instructions
unsorted-source-material/vp415 manual/image4 (2).jpg,docs/operating-instructions/assets/originals/operating-instructions-scan-04.jpg,asset-map,publish,text-page,,,3500x4956 page scan of the operating instructions
unsorted-source-material/vp415 manual/image5 (2).jpg,docs/operating-instructions/assets/originals/operating-instructions-scan-05.jpg,asset-map,publish,text-page,,,3500x4956 page scan of the operating instructions
unsorted-source-material/vp415 manual/image6 (2).jpg,docs/operating-instructions/assets/originals/operating-instructions-scan-06.jpg,asset-map,publish,text-page,,,3500x4956 page scan of the operating instructions
unsorted-source-material/vp415 manual/image7 (2).jpg,docs/operating-instructions/assets/originals/operating-instructions-scan-07.jpg,asset-map,publish,text-page,,,3500x4956 page scan of the operating instructions
unsorted-source-material/vp415 manual/image8 (2).jpg,docs/operating-instructions/assets/originals/operating-instructions-scan-08.jpg,asset-map,publish,text-page,,,3500x4956 page scan of the operating instructions
unsorted-source-material/vp415 manual/image9 (2).jpg,docs/operating-instructions/assets/originals/operating-instructions-scan-09.jpg,asset-map,publish,text-page,,,3500x4956 page scan of the operating instructions
